Country_Name,Country_Code,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
"Gambia, The",GMB,8110000,10939421,11384560,16240637,28045554,28551682,20635244,24394651,26072153,1928958,5670000,3948198,8386498,2917512,2259208,1733937,13562842,25757391,19049157,20589293,55386778,67615345,94033750,105752908,98016036,106146511,102133840,96038244,106362071,111246409,109431123,106013175,106877402,59306559,83774367,98312855,120615993,142784448,116517124,224175083,201627503,223241962
Georgia,GEO,,,,,,,,,,,,,,,,,,,,,,,,,,198511613,191373448,201708671,132881245,144363937,115965909,161941586,202176067,196198029,386676437,478637804,930833393,1361156521,1480157563,2110323553,2263794188,2818191709
Ghana,GHA,42579200,43092216,104041100,194039378,101333088,147155070,113297788,181582865,326657477,401235901,329581762,268425876,314337129,291305065,437210813,552078808,623972704,331647752,310347218,435931282,309313699,644302471,411555000,516970194,689267705,697464823,828725025,537823932,376979514,453774035,232054899,298239906,539747041,1352814053,1626651296,1752904044,2090294865,1984027598,1769805538,3386234682,4763204747,5483390209
Grenada,GRD,3677500,4447611,5604443,5003582,5363381,5752612,8113083,12691852,12313333,12219470,12908889,16097407,9232513,14141758,14234419,20812466,20565185,22740000,16923333,15442222,17578889,17472963,25880000,26900000,31231150,36734881,35728932,42666395,46840916,50839906,57660000,63941399,87842777,83225918,121728060,94252920,99961392,110569735,105341635,129078994,119154929,120710961
Guatemala,GTM,79441263,96265946,148142850,246476923,272939438,352684579,557262920,752483989,857804927,963704478,752585266,357328947,350871963,409283239,435385510,471692100,566267070,540889872,415722234,523525188,361810500,880813440,805843175,949519648,943368783,701958056,869698412,1111131246,1335080704,1189173156,1746396653,2292160598,2299138078,2833213472,3426280362,3663840994,3914946984,4129941885,4461891556,4963623608,5636812736,5834916338
Guinea,GIN,,,,,,,,,,,,,,,,,,,,,,145115258,98619418,133290239,87847092,86759345,87340121,121631869,236706997,199679962,147907026,200231347,171398334,169970709,110482185,95055710,,,,,,
Guinea-Bissau,GNB,,,,,,,,,,,,,,,,,-628536,10313850,15967619,20843398,18217187,14577095,17751596,14167094,18426348,20266042,11528415,33705318,35762002,35283698,66771063,69360646,103006754,32899909,71606726,79780699,82024734,112907178,124561482,168592512,156432568,219999196
Guyana,GUY,20400000,26155991,36750266,13973654,62572064,100496688,27282878,22976158,58265700,17528044,12700000,6910518,10557055,6490000,5850000,6470000,9000000,8430000,4040000,13350000,28679763,124416126,188080000,247450000,247126598,268938847,329676784,315505363,276599940,268276094,304956656,287255330,284472819,276387311,231844801,251872588,279636389,313007750,355913640,631410303,782063524,801777706
Haiti,HTI,4300000,10386842,17881689,17031748,19988173,12646580,28149127,34769235,40833126,64132916,26723324,31125238,12361647,15761641,18468623,12211090,22839765,25620159,20357776,19828758,10167738,41497494,33250204,39307977,58174904,191604703,216115188,207090059,258214048,264042306,182148958,141429812,81722996,62036117,114422671,133091535,253064633,451997474,541398466,788598671,1335032312,1194705068
Honduras,HND,20245847,21909527,35288309,42004016,44880474,97404002,131248193,182048531,187554468,216235714,159257508,107377904,119538469,119720724,133089634,111032000,117554400,113745600,56564000,27516000,46574227,112325600,204581800,105511001,179216201,261452437,249191011,580374843,818072806,1257578329,1313039314,1415560690,1524099700,1430030804,1970382857,2327208771,2628480909,2528026308,2473372469,2086482814,2670785052,2749742529
